Game_ID,Away_Abbrv,Home_Abbrv,Away_Score,Home_Score,Game_Away,Game_Home,Game_Year,Game_Date,Game_Tipoff,Game_Location,Neutral_Site,Conference_Competition,Attendance
303120221,URI,PITT,75,83,Rhode Island,Pittsburgh,2010,11/08,18:00:00,Petersen Events Center|Pittsburgh|Pennsylvania,False,False,9256
303120120,SEA,MD,76,105,Seattle,Maryland,2010,11/08,19:00:00,XFINITY Center|College Park|Maryland,False,False,13427
303120356,UCI,ILL,65,79,UC Irvine,Illinois,2010,11/08,19:00:00,State Farm Center|Champaign|Illinois,False,False,15287
303120251,NAVY,TEX,52,83,Navy,Texas,2010,11/08,20:00:00,Frank Erwin Center|Austin|Texas,False,False,10452
303140120,COFC,MD,74,75,Charleston,Maryland,2010,11/10,18:00:00,XFINITY Center|College Park|Maryland,False,False,13708
303140221,UIC,PITT,54,97,UIC,Pittsburgh,2010,11/10,18:00:00,Petersen Events Center|Pittsburgh|Pennsylvania,False,False,9148
303140356,TOL,ILL,45,84,Toledo,Illinois,2010,11/10,19:00:00,State Farm Center|Champaign|Illinois,False,False,15333
303140251,LT,TEX,58,89,Louisiana Tech,Texas,2010,11/10,20:00:00,Frank Erwin Center|Austin|Texas,False,False,9972
303162429,WEBB,CHAR,78,70,Gardner-Webb,Charlotte,2010,11/12,15:00:00,Halton Arena|Charlotte|North Carolina,False,False,5595
303162501,MILW,PORT,60,80,Milwaukee,Portland,2010,11/12,15:30:00,Chiles Center|Portland|Oregon,False,False,1379
303162309,IONA,KENT,72,73,Iona,Kent State,2010,11/12,16:00:00,10,True,False,0
303160193,TOWS,M-OH,57,60,Towson,Miami (OH),2010,11/12,17:00:00,Millett Hall|Oxford|Ohio,False,False,2221
303160292,INST,TRGV,69,46,Indiana State,UT Rio Grande Valley,2010,11/12,17:05:00,Joseph J. Gentile Center|Chicago|Illinois,True,False,0
303160084,FGCU,IND,60,88,Florida Gulf Coast,Indiana,2010,11/12,17:30:00,Assembly Hall (Indiana)|Bloomington|Indiana,False,False,15478
303160041,STON,CONN,52,79,Stony Brook,Connecticut,2010,11/12,18:00:00,Gampel Pavilion|Storrs|Connecticut,False,False,8319
303160047,BGSU,HOW,52,54,Bowling Green,Howard,2010,11/12,18:00:00,Burr Gymnasium|Washington|District of Columbia,False,False,2105
303160057,UNCW,FLA,60,77,UNC Wilmington,Florida,2010,11/12,18:00:00,Exactech Arena|Gainesville|Florida,False,False,10573
303160058,USM,USF,60,53,Southern Mississippi,South Florida,2010,11/12,18:00:00,USF Sun Dome|Tampa|Florida,False,False,3689
303160096,ETSU,UK,65,88,East Tennessee St.,Kentucky,2010,11/12,18:00:00,Rupp Arena|Lexington|Kentucky,False,False,23740
303160103,SFNY,BC,49,79,St Francis (BKN),Boston College,2010,11/12,18:00:00,Silvio Conte Forum|Chestnut Hill|Massachusetts,False,False,3740
303160111,BU,NE,64,66,Boston University,Northeastern,2010,11/12,18:00:00,Matthews Arena|Boston|Massachusetts,False,False,2339
303160152,TNTC,NCST,69,82,Tennessee Tech,NC State,2010,11/12,18:00:00,PNC Arena|Raleigh|North Carolina,False,False,15450
303160153,LIP,UNC,66,80,Lipscomb,North Carolina,2010,11/12,18:00:00,Dean E. Smith Center|Chapel Hill|North Carolina,False,False,16432
303160154,STET,WAKE,89,79,Stetson,Wake Forest,2010,11/12,18:00:00,Lawrence Joel Coliseum|Winston-salem|North Carolina,False,False,8323
303160163,RUTG,PRIN,73,78,Rutgers,Princeton,2010,11/12,18:00:00,Jadwin Gymnasium|Princeton|New Jersey,False,False,3530
303160183,UNI,SYR,46,68,Northern Iowa,Syracuse,2010,11/12,18:00:00,Carrier Dome|Syracuse|New York,False,False,22198
303160194,NCAT,OSU,61,102,North Carolina A&T,Ohio State,2010,11/12,18:00:00,Value City Arena|Columbus|Ohio,False,False,13302
303160257,CIT,RICH,37,79,The Citadel,Richmond,2010,11/12,18:00:00,Robins Stadium|Richmond|Virginia,False,False,6008
303160258,WM,UVA,52,76,William & Mary,Virginia,2010,11/12,18:00:00,John Paul Jones Arena|Charlottesville|Virginia,False,False,10003
303160295,GTWN,ODU,62,59,Georgetown,Old Dominion,2010,11/12,18:00:00,Ted Constant Convocation Center|Norfolk|Virginia,False,False,8457
303162226,FAU,UCD,70,63,Florida Atlantic,UC Davis,2010,11/12,18:00:00,Chiles Center|Portland|Oregon,True,False,647
303162325,CLMB,LAS,71,82,Columbia,La Salle,2010,11/12,18:00:00,Tom Gola Arena|Philadelphia|Pennsylvania,False,False,1812
303162341,NSU,LIU,64,87,Norfolk State,LIU Brooklyn,2010,11/12,18:00:00,"Wellness, Recreation and Athletic Center|Brooklyn|New York",False,False,1087
303162379,TULN,UMES,91,62,Tulane,Maryland-Eastern Shore,2010,11/12,18:00:00,Hytche Arena|Princess Anne|Maryland,False,False,2467
303162681,LAF,WAG,58,63,Lafayette,Wagner,2010,11/12,18:00:00,Spiro Sports Center|Staten Island|New York,False,False,1857
303162752,WMU,XAV,65,68,Western Michigan,Xavier,2010,11/12,18:00:00,Cintas Center|Cincinnati|Ohio,False,False,10250
